id,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,persoonlijkheidstests,personality tests,24,personal test,0.639
1,persoonlijkheidstest,personality test,24,personal test,0.685
2,verschillende persoonlijkheden,different personalities,24,personal test,0.278
3,persoonlijkheidstypen kleuren,personality types coloring,24,personal test,0.173
4,persoonlijkheidstest psychologie,personality test psychology,23,psychological tests,0.773
5,persoonlijkheidsvragenlijst,personality questionnaire,24,personal test,0.437
6,persoonlijkheidstest mbti,personality test mbti,24,personal test,0.511
7,persoonlijkheid kenmerken,personality traits,24,personal test,0.294
8,disc persoonlijkheidstest,disc personality test,24,personal test,0.525
9,jung persoonlijkheidstest,jung personality test,24,personal test,0.515
10,personaliteits test,personality test,24,personal test,0.685
11,persoonlijk test,personal test,24,personal test,1.000
12,persoonlijkheidstest jung,personality test jung,24,personal test,0.489
13,big five persoonlijkheidsmodel,big five personality model,24,personal test,0.199
14,persoonlijke testen,personal tests,24,personal test,0.965
15,disc persoonlijkheid,disc personality,24,personal test,0.236
16,online persoonlijkheidstest,online personality test,24,personal test,0.570
17,thomas test persoonlijkheid,thomas personality test,24,personal test,0.510
18,persoonlijk profiel analyse,personal profile analysis,24,personal test,0.467
19,disk persoonlijkheidstest,disk personality test,24,personal test,0.514
20,persoonlijke kwaliteiten test,personal qualities test,24,personal test,0.675
21,zelftest persoonlijkheid,self test personality,24,personal test,0.673
22,sterke punten persoonlijkheid,strengths personality,24,personal test,0.269
23,persoonlijkheidstesten soorten,personality tests types,24,personal test,0.522
24,gedragsstijlen test,behavioral style test,43,leadership styles,0.347
25,test je gedrag,test your behavior,3,ppa test practice,0.347
26,abstract redeneervermogen,abstract reasoning ability,9,abstract reasoning why,0.777
27,abstract redeneren,abstract reasoning,9,abstract reasoning why,0.911
28,numeriek redeneren,numerical reasoning,37,reason meaning,0.202
29,inductief redeneren,inductive reasoning,42,reasoning tests,0.546
30,redeneertesten,reasoning tests,42,reasoning tests,1.000
31,deductief redeneren,deductive reasoning,42,reasoning tests,0.651
32,test abstract redeneervermogen,test abstract reasoning ability,9,abstract reasoning why,0.670
33,numeriek redeneervermogen,numerical reasoning ability,37,reason meaning,0.196
34,verbaal redeneervermogen,verbal reasoning ability,49,practice verbal reasoning,0.848
35,redeneren betekenis,reason meaning,37,reason meaning,1.000
36,deductief redeneren test,deductive reasoning test,42,reasoning tests,0.819
37,abstract redeneren hudson,abstract reasoning hudson,9,abstract reasoning why,0.639
38,redenering betekenis,reasoning meaning,37,reason meaning,0.636
39,test logisch redeneren,test logical reasoning,42,reasoning tests,0.879
40,verbaal redeneren oefenen,practice verbal reasoning,49,practice verbal reasoning,1.000
41,test inductief redeneren,test inductive reasoning,42,reasoning tests,0.741
42,abstract redeneren waarom,abstract reasoning why,9,abstract reasoning why,1.000
43,test abstract redeneervermogen boek,test abstract reasoning book,9,abstract reasoning why,0.589
44,abstract redeneervermogen hudson,abstract reasoning hudson,9,abstract reasoning why,0.639
45,redeneringstesten oefenen,practice reasoning tests,42,reasoning tests,0.927
46,numeriek redeneren hudson,numerical reasoning hudson,37,reason meaning,0.107
47,numerieke reeksen oefenen,practice numerical sequences,30,recruitmentproces,0.143
48,verbaal redeneren test,verbal reasoning test,49,practice verbal reasoning,0.835
49,wat is verbaal redeneren,what is verbal reasoning,4,what is abstract reasoning,0.527
50,verbaal abstract redeneren betekenis,verbal abstract reasoning meaning,9,abstract reasoning why,0.704
51,logisch redeneervermogen,logical reasoning,42,reasoning tests,0.660
52,logisch redeneren betekenis,logical reasoning meaning,37,reason meaning,0.507
53,inductief logisch redeneren,inductive logical reasoning,42,reasoning tests,0.559
54,wat is abstract redeneren,what is abstract reasoning,4,what is abstract reasoning,1.000
55,abstract redeneervermogen domino,abstract reasoning dominoes,9,abstract reasoning why,0.682
56,abstracte redeneertest hudson,abstract reasoning test hudson,9,abstract reasoning why,0.546
57,numerical reasoning test nederlands,numerical reasoning test nederlands,42,reasoning tests,0.613
58,verbal reasoning test nederlands,verbal reasoning test nederlands,49,practice verbal reasoning,0.708
59,numeriek redeneren betekenis,numerical reasoning meaning,37,reason meaning,0.323
60,iq test,iq test,48,iq test,1.000
61,emotionele intelligentie,emotional intelligence,8,emotional intelligence training,0.836
62,test intelligence,test intelligence,3,ppa test practice,0.363
63,iq test nederlands,iq test netherlands,48,iq test,0.764
64,emotioneel intelligent,emotionally intelligent,8,emotional intelligence training,0.688
65,intelligentietest psycholoog,intelligence test psychologist,3,ppa test practice,0.301
66,iq test training,iq test training,48,iq test,0.848
67,gratis online iq test,free online iq test,48,iq test,0.695
68,intelligentie structuur test,intelligence structure test,3,ppa test practice,0.307
69,algemene intelligentie,general intelligence,8,emotional intelligence training,0.522
70,lage emotionele intelligentie,low emotional intelligence,8,emotional intelligence training,0.718
71,hoge emotionele intelligentie,high emotional intelligence,8,emotional intelligence training,0.764
72,numerieke intelligentie,numerical intelligence,8,emotional intelligence training,0.391
73,general intelligence test,general intelligence test,3,ppa test practice,0.362
74,cognitieve intelligentie test,cognitive intelligence test,45,cognitive skills test,0.890
75,intelligentietest volwassenen,intelligence test adults,3,ppa test practice,0.337
76,intelligentie test oefenen,practice intelligence test,3,ppa test practice,0.353
77,intelligentieonderzoek volwassenen,intelligence research adults,8,emotional intelligence training,0.588
78,teique test,test to you,3,ppa test practice,0.376
79,eq test scores,eq test scores,3,ppa test practice,0.406
80,hoe werkt een iq test,how does an iq test work,48,iq test,0.818
81,onderdelen iq test,parts iq test,48,iq test,0.687
82,online iq test nederlands,online iq test dutch,48,iq test,0.655
83,iq test belgië,iq test belgium,48,iq test,0.733
84,uitleg iq testen,explanation iq testing,48,iq test,0.838
85,eq test gratis,free eq test,3,ppa test practice,0.425
86,eq test betekenis,eq test meaning,3,ppa test practice,0.385
87,eigenschappen leiderschap,leadership qualities,25,leadership qualities,1.000
88,leiderschapskwaliteiten test,leadership qualities test,25,leadership qualities,0.856
89,leiderschap kenmerken,leadership characteristics,1,leadership characteristics,1.000
90,leiderschapsstijlen kleuren,coloring leadership styles,43,leadership styles,0.768
91,leider eigenschappen,leader traits,17,good leader,0.521
92,kwaliteiten van een leider,qualities of a leader,17,good leader,0.587
93,kenmerken leiderschap,characteristics of leadership,1,leadership characteristics,0.979
94,leiderschap test,leadership test,43,leadership styles,0.664
95,situationeel leiderschap test,situational leadership test,43,leadership styles,0.591
96,kleuren leiderschap test,color leadership test,43,leadership styles,0.599
97,leiderschapsstijlen test hersey en blanchard,leadership styles test hersey and blanchard,43,leadership styles,0.722
98,test leiderschapsstijl,test leadership style,43,leadership styles,0.698
99,cognitieve test,cognitive test,45,cognitive skills test,0.899
100,cognitieve vaardigheden,cognitive skills,45,cognitive skills test,0.794
101,planningsvaardigheden testen,testing planning skills,3,ppa test practice,0.470
102,cognitieve vaardigheden test,cognitive skills test,45,cognitive skills test,1.000
103,vaardigheden test,skills test,3,ppa test practice,0.456
104,cognitieve capaciteitentest,cognitive ability test,45,cognitive skills test,0.918
105,wat is een cognitieve test,what is a cognitive test,45,cognitive skills test,0.814
106,cognitieve test betekenis,cognitive test meaning,45,cognitive skills test,0.806
107,cognitieve vaardigheden test gratis,cognitive skills test free,45,cognitive skills test,0.784
108,cognitieve intelligentie test,cognitive intelligence test,45,cognitive skills test,0.890
109,ait betekenis,ait meaning,32,ppa meaning,-0.045
110,ait assessment,ait assessment,31,assessment training,0.488
111,ait test voorbeeld,ait test example,3,ppa test practice,0.302
112,teique,teik,30,recruitmentproces,0.168
113,teiq,teiq,30,recruitmentproces,0.166
114,teique assessment,teique assessment,31,assessment training,0.402
115,disc test,disc test,22,disc test,1.000
116,disc profiel,disc profile,36,disc profile,1.000
117,disc persoonlijkheidstest,disc personality test,24,personal test,0.525
118,disc model test,disc model test,22,disc test,0.892
119,disc profiel test,disc profile test,22,disc test,0.845
120,disc test gratis,test disc for free,22,disc test,0.749
121,disc persoonlijkheid,disc personality,24,personal test,0.236
122,disc uitleg,disc explanation,36,disc profile,0.696
123,disc vragenlijst pdf,disc questionnaire pdf,36,disc profile,0.574
124,disc test nederlands,disc test nederlands,22,disc test,0.749
125,disc test download,disc test download,22,disc test,0.800
126,gia test oefenen,practice gia test,3,ppa test practice,0.350
127,gia test gratis,gia test free,3,ppa test practice,0.362
128,gia test score,gia test score,3,ppa test practice,0.312
129,consciëntieusheid,conscientiousness,30,recruitmentproces,0.144
130,tascnet test,tascnet test,3,ppa test practice,0.299
131,psychotechnische testen oefenen,practice psychotechnical tests,3,ppa test practice,0.397
132,analytische test,analytical test,3,ppa test practice,0.360
133,welke kleur ben ik test,what color am i testing,3,ppa test practice,0.290
134,hersey en blanchard test,hersey in blanchard test,3,ppa test practice,0.352
135,loopbaanbegeleiding online test,career guidance online test,3,ppa test practice,0.341
136,wat zijn mijn zwakke punten test,what are my weaknesses test,3,ppa test practice,0.401
137,wat is een assessment test,what is an assessment test,4,what is abstract reasoning,0.168
138,hpti test,hpti test,3,ppa test practice,0.390
139,emoties herkennen test,recognize emotions test,3,ppa test practice,0.290
140,leervermogen,learning ability,46,learning ability,1.000
141,leervermogen testen,test learning ability,46,learning ability,0.767
142,leervermogen competentie,learning ability competence,46,learning ability,0.875
143,interactief leervermogen,interactive learning ability,46,learning ability,0.710
144,psychometrie,psychometrie,30,recruitmentproces,0.174
145,psychometric test,psychometric test,3,ppa test practice,0.398
146,psychometrie betekenis,psychometric meaning,32,ppa meaning,0.143
147,psychometrisch,psychometrisch,30,recruitmentproces,0.169
148,wat is een psychometrische test,what is a psychometric test,4,what is abstract reasoning,0.184
149,wat is psychometrie,what is psychometry,4,what is abstract reasoning,0.225
150,psychometric test characters,psychometric test characters,3,ppa test practice,0.288
151,psychometrische eigenschappen betekenis,psychometric properties meaning,32,ppa meaning,0.107
152,psychometric test meaning,psychometric test meaning,3,ppa test practice,0.357
153,psychotechnische testen,psychotechnical testing,3,ppa test practice,0.396
154,psychotechnische testen voorbeelden,psychotechnical testing examples,3,ppa test practice,0.389
155,vragenlijst emoties,questionnaire emotions,16,feedback questionnaire,0.608
156,wat zijn psychotechnische testen,what are psychotechnical tests,3,ppa test practice,0.329
157,ppa test oefenen,ppa test practice,3,ppa test practice,1.000
158,ppa analyse,ppa analyse,40,ppa assessment,0.840
159,spa analyse,spa analyse,30,recruitmentproces,0.356
160,ppa test gratis,ppa test for free,3,ppa test practice,0.799
161,ppa assessment test,ppa assessment test,40,ppa assessment,0.923
162,ppa online,ppa online,40,ppa assessment,0.689
163,profielanalyse,profile analysis,30,recruitmentproces,0.260
164,profiel test,profile test,3,ppa test practice,0.395
165,profile dynamics vragenlijst,profile dynamics questionnaire,16,feedback questionnaire,0.517
166,psychologische testen,psychological tests,23,psychological tests,1.000
167,psychologische testen oefenen,practice psychological tests,23,psychological tests,0.901
168,psychologische testen overzicht,psychological testing overview,23,psychological tests,0.847
169,job test,job test,3,ppa test practice,0.454
170,aptitude test,aptitude test,3,ppa test practice,0.515
171,sollicitatietesten,job application tests,3,ppa test practice,0.420
172,aptitude betekenis,aptitude meaning,32,ppa meaning,0.315
173,candidate test,candidate test,3,ppa test practice,0.493
174,numerieke testen,numerical tests,3,ppa test practice,0.286
175,numerieke testen sollicitatie oefenen,numerical tests application practice,3,ppa test practice,0.360
176,numerieke testen hudson,numerical tests hudson,3,ppa test practice,0.206
177,numerieke inzicht test ltp,numerical insight test ltp,3,ppa test practice,0.282
178,numerieke testen tips,numerical testing tips,3,ppa test practice,0.312
179,nauwkeurigheidstest,accuracy test,3,ppa test practice,0.337
180,accuratesse betekenis,accuracy meaning,32,ppa meaning,0.066
181,accuratesse test,accuracy test,3,ppa test practice,0.337
182,snelheid en nauwkeurigheid test,speed and accuracy test,3,ppa test practice,0.280
183,potentieel,potential,30,recruitmentproces,0.228
184,capaciteiten betekenis,abilities meaning,32,ppa meaning,0.115
185,capaciteitentest oefenen,practice ability test,3,ppa test practice,0.498
186,goede en slechte eigenschappen test,good and bad traits test,3,ppa test practice,0.361
187,sterke punten test,strengths test,3,ppa test practice,0.414
188,kwaliteiten test,qualities test,3,ppa test practice,0.398
189,capaciteitentest technisch inzicht,capability test technical insight,3,ppa test practice,0.324
190,planning ability test,planning ability test,3,ppa test practice,0.447
191,vlieger capaciteitentest 1,kite aptitude test 1,3,ppa test practice,0.360
192,technisch inzicht test,technical insight test,3,ppa test practice,0.374
193,ruimtelijk inzicht betekenis,spatial awareness meaning,32,ppa meaning,0.152
194,test ruimtelijk inzicht,test spatial awareness,3,ppa test practice,0.416
195,assessment training,assessment training,31,assessment training,1.000
196,ppa training,ppa training,40,ppa assessment,0.724
197,ppa training,ppa training,40,ppa assessment,0.724
198,effectief leiderschap training,effective leadership training,1,leadership characteristics,0.600
199,emotionele intelligentie training,emotional intelligence training,8,emotional intelligence training,1.000
200,beste assessment training,beste assessment training,31,assessment training,0.797
201,assessment training review,assessment training review,7,the performance review,0.529
202,recruitment trainingen,recruitment trainings,30,recruitmentproces,0.803
203,trainingen verandermanagement,change management training,5,change management,0.831
204,disc training kosten,disc training costs,36,disc profile,0.442
205,training emotionele intelligentie,emotional intelligence training,8,emotional intelligence training,1.000
206,assessment training,assessment training,31,assessment training,1.000
207,assessment cursus,assessment cursus,31,assessment training,0.352
208,beste assessment training,beste assessment training,31,assessment training,0.797
209,assessment training review,assessment training review,7,the performance review,0.529
210,zelfontwikkeling,self development,44,self development,1.000
211,zelfontwikkeling boeken,books self development,44,self development,0.799
212,zelfontwikkeling engels,self development english,44,self development,0.768
213,zelfontwikkeling betekenis,self development meaning,44,self development,0.891
214,persoonlijke zelfontwikkeling,personal self-development,44,self development,0.921
215,zelfontwikkeling tips,self development tips,44,self development,0.833
216,zelfontwikkeling competentie,self-development competence,34,developing employees' competence,0.623
217,zelfontwikkeling cursus,self-development course,44,self development,0.802
218,verschil zelfontwikkeling en zelfontplooiing,difference self-development and self-development,44,self development,0.832
219,leiderschapskwaliteiten ontwikkelen,develop leadership qualities,25,leadership qualities,0.909
220,leiderschapskwaliteiten ontwikkelen,develop leadership qualities,25,leadership qualities,0.909
221,persoonlijkheid ontwikkelen,develop personality,14,develop personality,1.000
222,zelfbewustzijn ontwikkelen,develop self-awareness,44,self development,0.650
223,competentie ontwikkelen medewerkers,developing employees' competence,34,developing employees' competence,1.000
224,opleiden en ontwikkelen personeel,train and develop staff,44,self development,0.378
225,soft skills ontwikkelen,develop soft skills,44,self development,0.412
226,emotionele intelligentie ontwikkelen,develop emotional intelligence,8,emotional intelligence training,0.844
227,competentie ontwikkelen medewerkers,developing employees' competence,34,developing employees' competence,1.000
228,persoonlijke ontwikkeling medewerkers,personal development employees,14,develop personality,0.460
229,ontwikkeling medewerkers,employee development,26,reward employees,0.521
230,waarom ontwikkeling van medewerkers belangrijk,why employee development is important,35,why is communication important in a team,0.417
231,persoonlijke ontwikkeling,personal development,14,develop personality,0.630
232,persoonlijke ontwikkeling voorbeelden,personal development examples,14,develop personality,0.516
233,ontwikkeling persoonlijkheid,personality development,14,develop personality,0.919
234,persoonlijke ontwikkeling medewerkers,personal development employees,14,develop personality,0.460
235,ontwikkeling medewerkers,employee development,26,reward employees,0.521
236,ontwikkelingsmogelijkheden,development opportunities,44,self development,0.423
237,persoonlijke ontwikkeling werk,personal development work,14,develop personality,0.526
238,onderwerpen persoonlijke ontwikkeling,subjects personal development,14,develop personality,0.595
239,wat is persoonlijke ontwikkeling,what is personal development,4,what is abstract reasoning,0.141
240,persoonlijke ontwikkeling beschrijven,describe personal development,14,develop personality,0.657
241,waarom ontwikkeling van medewerkers belangrijk,why employee development is important,35,why is communication important in a team,0.417
242,onboarding,onboarding,19,onboarding proces,0.842
243,onboarding proces,onboarding proces,19,onboarding proces,1.000
244,wat is onboarding,what is onboarding,4,what is abstract reasoning,0.129
