id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,1,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,1,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,228,different personalities,1.000
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,177,personality types coloring,1.000
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,1,personal test,0.610
5,Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,personality questionnaire,166,personality questionnaire,1.000
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,1,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,221,personality traits,1.000
8,Testen,Persoonlijkheidstest,disc persoonlijkheidstest,disc personality test,1,personal test,0.525
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,255,personality test jung,0.989
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,1,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,1,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,255,personality test jung,1.000
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,102,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,1,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,109,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,1,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,1,personal test,0.510
18,Testen,Persoonlijkheidstest,persoonlijk profiel analyse,personal profile analysis,253,personal profile analysis,1.000
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,1,personal test,0.514
20,Testen,capaciteiten,persoonlijke kwaliteiten test,personal qualities test,287,qualities test,0.888
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,1,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,265,strengths personality,1.000
