Topic,SubTopic,Keyword,Search Volume BENL,Search Volume NL,Position BENL,Position NL,0,URL NL,Ranking BE,Ranking NL,Best Page,Best competition position,Words in query,Words in title,Words in h1
Testen,Persoonlijkheidstest,persoonlijkheidstests,2400,6600,18,25,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,2,3,https://www.123test.nl/persoonlijkheidstest/,2,1,1,0
Testen,Persoonlijkheidstest,persoonlijkheidstest,2400,6600,32,43,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,2,2,https://www.123test.nl/persoonlijkheidstest/,2,1,1,0
Testen,Persoonlijkheidstest,verschillende persoonlijkheden,90,210,54,68,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,1,1,https://www.shl.com/shldirect/nl/example-questions/personality-questionnaire-examples,59,2,0,1
Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,90,320,0,0,0,0,0,13,https://www.123test.nl/disc-test/,8,,,
Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,70,210,1,0,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,0,1,13,https://www.123test.nl/persoonlijkheid/,2,2,1,0
Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,70,170,0,0,0,0,13,13,https://www.shl.com/shldirect/nl/example-questions/personality-questionnaire-examples,2,,,
Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,70,110,0,0,0,0,13,13,https://www.123test.nl/mbti/,4,,,
Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,70,260,82,98,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,2,2,https://www.123test.nl/persoonlijkheidstest/,15,2,0,1
Testen,Persoonlijkheidstest,disc persoonlijkheidstest,70,320,93,0,https://www.thomas.co/nl/assessments/wat-we-bieden,0,3,13,https://www.123test.nl/disc-test/,1,2,0,0
Testen,Persoonlijkheidstest,jung persoonlijkheidstest,40,210,0,0,0,0,13,13,https://www.123test.nl/jung-persoonlijkheidstest/,1,,,
Testen,Persoonlijkheidstest,personaliteits test,30,70,11,12,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,2,2,https://www.123test.nl/persoonlijkheidstest/,3,2,1,0
Testen,Persoonlijkheidstest,persoonlijk test,20,110,25,68,https://www.thomas.co/nl/ppa,https://www.thomas.co/nl/ppa,2,3,https://www.123test.nl/persoonlijkheidstest/,3,2,1,1
Testen,Persoonlijkheidstest,persoonlijkheidstest jung,20,70,0,0,0,0,13,13,https://www.123test.nl/jung-persoonlijkheidstest/,1,,,
Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,20,140,0,0,0,0,13,13,https://www.123test.nl/big-five-vijffactorenmodel/,6,,,
Testen,Persoonlijkheidstest,persoonlijke testen,20,110,2,89,https://www.thomas.co/nl/assessments/persoonlijkheidstests-voor-op-de-werkplek,https://www.thomas.co/nl/assessments/wat-we-bieden,2,2,https://www.123test.nl/persoonlijkheidstest/,2,2,1,1
Testen,Persoonlijkheidstest,disc persoonlijkheid,20,170,0,0,0,0,13,13,https://www.123test.nl/disc-test/,2,,,
Testen,Persoonlijkheidstest,online persoonlijkheidstest,20,70,0,0,0,0,13,13,https://www.123test.nl/persoonlijkheidstest/,2,,,
Testen,Persoonlijkheidstest,thomas test persoonlijkheid,10,10,1,1,https://www.thomas.co/nl,https://www.thomas.co/nl,1,1,https://www.123test.nl/disc-test/,7,3,1,0
Testen,Persoonlijkheidstest,persoonlijk profiel analyse,10,30,2,0,https://www.thomas.co/nl/ppa,0,1,13,https://www.123test.nl/disc-test/,4,3,3,3
