id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,69,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,69,personal test,0.685
2,Training en ontwikkeling,persoonlijke ontwikkeling,verschillende persoonlijkheden,different personalities,2,describe personal development,0.424
3,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheidstypen kleuren,personality types coloring,2,describe personal development,0.300
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,69,personal test,0.610
5,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheidsvragenlijst,personality questionnaire,2,describe personal development,0.447
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,69,personal test,0.511
7,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheid kenmerken,personality traits,2,describe personal development,0.491
8,Testen,disc,disc persoonlijkheidstest,disc personality test,4,disc personality test,1.000
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,195,personality test jung,0.989
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,69,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,69,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,195,personality test jung,1.000
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,101,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,69,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,194,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,69,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,69,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,52,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,69,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,69,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,69,personal test,0.673
22,Training en ontwikkeling,persoonlijke ontwikkeling,sterke punten persoonlijkheid,strengths personality,2,describe personal development,0.382
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,69,personal test,0.522
24,Testen,Gedrag,gedragsstijlen test,behavioral style test,163,test your behavior,0.619
25,Testen,Gedrag,test je gedrag,test your behavior,163,test your behavior,1.000
26,Testen,Redeneren,abstract redeneervermogen,abstract reasoning ability,172,abstract reasoning ability,1.000
27,Testen,Redeneren,abstract redeneren,abstract reasoning,8,abstract reasoning,1.000
28,Testen,Redeneren,numeriek redeneren,numerical reasoning,26,numerical reasoning,1.000
29,Testen,Redeneren,inductief redeneren,inductive reasoning,183,inductive reasoning,1.000
30,Testen,Redeneren,redeneertesten,reasoning tests,37,reasoning tests,1.000
31,Testen,Redeneren,deductief redeneren,deductive reasoning,138,deductive reasoning,1.000
32,Testen,Redeneren,test abstract redeneervermogen,test abstract reasoning ability,172,abstract reasoning ability,0.867
33,Testen,Redeneren,numeriek redeneervermogen,numerical reasoning ability,26,numerical reasoning,0.891
34,Testen,Redeneren,verbaal redeneervermogen,verbal reasoning ability,179, verbal reasoning,0.869
35,Testen,Redeneren,redeneren betekenis,reason meaning,91,reason meaning,1.000
36,Testen,Redeneren,deductief redeneren test,deductive reasoning test,138,deductive reasoning,0.857
37,Testen,Redeneren,abstract redeneren hudson,abstract reasoning hudson,188,abstract reasoning hudson,1.000
38,Testen,Redeneren,redenering betekenis,reasoning meaning,91,reason meaning,0.636
39,Testen,Redeneren,test logisch redeneren,test logical reasoning,37,reasoning tests,0.879
40,Testen,Redeneren,verbaal redeneren oefenen,practice verbal reasoning,179, verbal reasoning,0.890
41,Testen,Redeneren,test inductief redeneren,test inductive reasoning,183,inductive reasoning,0.862
42,Testen,Redeneren,abstract redeneren waarom,abstract reasoning ,8,abstract reasoning,1.000
43,Testen,Redeneren,test abstract redeneervermogen boek,test abstract reasoning book,8,abstract reasoning,0.682
44,Testen,Redeneren,abstract redeneervermogen hudson,abstract reasoning hudson,188,abstract reasoning hudson,1.000
45,Testen,Redeneren,redeneringstesten oefenen,practice reasoning tests,30,practice reasoning tests,1.000
46,Testen,Redeneren,numeriek redeneren hudson,numerical reasoning hudson,26,numerical reasoning,0.730
47,Testen,Redeneren,numerieke reeksen oefenen,practice numerical sequences,161,practice numerical sequences,1.000
48,Testen,Redeneren,verbaal redeneren test,verbal reasoning test,47,verbal reasoning test,1.000
49,Testen,Redeneren,wat is verbaal redeneren, verbal reasoning,179, verbal reasoning,1.000
50,Testen,Redeneren,verbaal abstract redeneren betekenis,verbal abstract reasoning meaning,8,abstract reasoning,0.780
51,Testen,Redeneren,logisch redeneervermogen,logical reasoning,37,reasoning tests,0.660
52,Testen,Redeneren,logisch redeneren betekenis,logical reasoning meaning,91,reason meaning,0.507
53,Testen,Redeneren,inductief logisch redeneren,inductive logical reasoning,140,inductive logical reasoning,1.000
54,Testen,Redeneren,wat is abstract redeneren, abstract reasoning,8,abstract reasoning,1.000
55,Testen,Redeneren,abstract redeneervermogen domino,abstract reasoning dominoes,8,abstract reasoning,0.784
56,Testen,Redeneren,abstracte redeneertest hudson,abstract reasoning test hudson,188,abstract reasoning hudson,0.900
57,Testen,numeriek,numerical reasoning test nederlands,numerical reasoning test nederlands,97,numerical tests,0.685
58,Testen,Redeneren,verbal reasoning test nederlands,verbal reasoning test nederlands,47,verbal reasoning test,0.819
59,Testen,Redeneren,numeriek redeneren betekenis,numerical reasoning meaning,91,reason meaning,0.323
60,Testen,Intelligentie,iq test,iq test,23,iq test,1.000
61,Testen,Intelligentie,emotionele intelligentie,emotional intelligence,67,emotional intelligence,1.000
62,Testen,Intelligentie,test intelligence,test intelligence,53,test intelligence,1.000
63,Testen,Intelligentie,iq test nederlands,iq test netherlands,23,iq test,0.764
64,Testen,Intelligentie,emotioneel intelligent,emotionally intelligent,67,emotional intelligence,0.879
65,Testen,Intelligentie,intelligentietest psycholoog,intelligence test psychologist,53,test intelligence,0.827
66,Testen,Intelligentie,iq test training,iq test training,23,iq test,0.848
67,Testen,Intelligentie,gratis online iq test,free online iq test,23,iq test,0.695
68,Testen,Intelligentie,intelligentie structuur test,intelligence structure test,53,test intelligence,0.797
69,Testen,Intelligentie,algemene intelligentie,general intelligence,41,general intelligence,1.000
70,Testen,Intelligentie,lage emotionele intelligentie,low emotional intelligence,67,emotional intelligence,0.855
71,Testen,Intelligentie,hoge emotionele intelligentie,high emotional intelligence,67,emotional intelligence,0.907
72,Testen,Intelligentie,numerieke intelligentie,numerical intelligence,41,general intelligence,0.604
73,Testen,Intelligentie,general intelligence test,general intelligence test,41,general intelligence,0.822
74,Testen,Vaardigheden,cognitieve intelligentie test,cognitive intelligence test,31,cognitive test,0.880
75,Testen,Intelligentie,intelligentietest volwassenen,intelligence test adults,147,intelligence research adults,0.884
76,Testen,Redeneren,intelligentie test oefenen,practice intelligence test,30,practice reasoning tests,0.596
77,Testen,Intelligentie,intelligentieonderzoek volwassenen,intelligence research adults,147,intelligence research adults,1.000
78,Testen,Intelligentie,teique test,test to you,145,test to you,1.000
79,Testen,Intelligentie,eq test scores,eq test scores,82,free eq test,0.700
80,Testen,Intelligentie,hoe werkt een iq test,how does an iq test work,128,how does an iq test work,1.000
81,Testen,Intelligentie,onderdelen iq test,parts iq test,23,iq test,0.687
82,Testen,Intelligentie,online iq test nederlands,online iq test dutch,23,iq test,0.655
83,Testen,Intelligentie,iq test belgië,iq test belgium,23,iq test,0.733
84,Testen,Intelligentie,uitleg iq testen,explanation iq testing,23,iq test,0.838
85,Testen,Intelligentie,eq test gratis,free eq test,82,free eq test,1.000
86,Testen,psychometrie,eq test betekenis,eq test meaning,77,psychometric meaning,0.160
87,Testen,Leiderschap,eigenschappen leiderschap,leadership qualities,115,leadership qualities,1.000
88,Testen,Leiderschap,leiderschapskwaliteiten test,leadership qualities test,115,leadership qualities,0.856
89,Testen,Leiderschap,leiderschap kenmerken,leadership characteristics,29,leadership characteristics,1.000
90,Leiderschap,leiderschapstijlen,leiderschapsstijlen kleuren,coloring leadership styles,45,leadership styles,0.768
91,Testen,Leiderschap,leider eigenschappen,leader traits,76,leader traits,1.000
92,Testen,Leiderschap,kwaliteiten van een leider,qualities of a leader,34,qualities of a leader,1.000
93,Testen,Leiderschap,kenmerken leiderschap,characteristics of leadership,29,leadership characteristics,0.979
94,Testen,Leiderschap,leiderschap test,leadership test,116,leadership test,1.000
95,Testen,Leiderschap,situationeel leiderschap test,situational leadership test,116,leadership test,0.889
96,Testen,Leiderschap,kleuren leiderschap test,color leadership test,116,leadership test,0.771
97,Testen,Leiderschap,leiderschapsstijlen test hersey en blanchard,leadership styles test hersey and blanchard,144,leadership styles test hersey and blanchard,1.000
98,Testen,Leiderschap,test leiderschapsstijl,test leadership style,116,leadership test,0.887
99,Testen,Vaardigheden,cognitieve test,cognitive test,31,cognitive test,1.000
100,Testen,Vaardigheden,cognitieve vaardigheden,cognitive skills,141,cognitive skills,1.000
101,Testen,Vaardigheden,planningsvaardigheden testen,testing planning skills,122,skills test,0.680
102,Testen,Vaardigheden,cognitieve vaardigheden test,cognitive skills test,141,cognitive skills,0.794
103,Testen,Vaardigheden,vaardigheden test,skills test,122,skills test,1.000
